"team","game_id","winner","total_scoring","first_scoring","second_scoring","third_scoring","overtime_scoring","shootout_scoring","total_shots","first_shots","second_shots","third_shots","overtime_shots","shootout_shots","blocked_opponent_shots","successful_power_play","power_play_opportunities","power_play_percent","faceoff_percent","penalty_minutes","takeaways","giveaways","date"
"nyr",40862,"No",1,0,1,0,NA,NA,33,15,11,7,NA,NA,0,0,4,0,0,8,0,0,2015-10-11
"ctw",40862,"Yes",4,1,1,2,NA,NA,30,9,10,11,NA,NA,0,0,4,0,0,8,0,0,2015-10-11
"bos",40863,"Yes",4,1,2,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,1,1,0,10,0,0,2015-10-11
"buf",40863,"No",1,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,5,0.2,0,2,0,0,2015-10-11
"ctw",40866,"Yes",5,1,1,3,NA,NA,0,NA,NA,NA,NA,NA,0,2,7,0.286,0,14,0,0,2015-10-18
"buf",40866,"No",2,1,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,7,0,0,12,0,0,2015-10-18
"bos",40865,"Yes",7,2,1,4,NA,NA,0,NA,NA,NA,NA,NA,0,1,8,0.125,0,12,0,0,2015-10-18
"nyr",40865,"No",1,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,6,0,0,16,0,0,2015-10-18
"bos",40869,"Yes",5,1,2,2,NA,NA,0,NA,NA,NA,NA,NA,0,2,5,0.4,0,8,0,0,2015-10-25
"buf",40869,"No",3,0,2,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,4,0.25,0,10,0,0,2015-10-25
"ctw",40864,"Yes",3,1,0,2,NA,NA,0,NA,NA,NA,NA,NA,0,2,4,0.5,0,10,0,0,2015-10-25
"nyr",40864,"No",1,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,1,5,0.2,0,8,0,0,2015-10-25
"ctw",40868,"Yes",3,0,2,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,4,0,0,20,0,0,2015-11-15
"buf",40868,"No",2,0,0,2,NA,NA,0,NA,NA,NA,NA,NA,0,0,10,0,0,8,0,0,2015-11-15
"bos",40867,"No",2,1,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,7,0.143,0,14,0,0,2015-11-15
"nyr",40867,"Yes",3,2,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,7,0.143,0,14,0,0,2015-11-15
"nyr",40873,"Yes",3,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,4,0,0,12,0,0,2015-11-22
"bos",40873,"No",2,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,2,6,0.333,0,8,0,0,2015-11-22
"ctw",40871,"Yes",7,5,1,0,0,"1",0,NA,NA,NA,NA,2,0,4,6,0.667,0,14,0,0,2015-11-22
"buf",40871,"No",6,1,5,0,0,"0",0,NA,NA,NA,NA,3,0,3,7,0.429,0,15,0,0,2015-11-22
"ctw",40872,"Yes",4,2,2,0,NA,NA,25,9,12,4,NA,NA,0,1,5,0.2,0,12,0,0,2015-11-29
"bos",40872,"No",3,0,1,2,NA,NA,51,13,19,19,NA,NA,0,2,6,0.333,0,10,0,0,2015-11-29
"buf",40870,"Yes",3,0,0,3,NA,NA,0,NA,NA,NA,NA,NA,0,0,6,0,0,4,0,0,2015-11-29
"nyr",40870,"No",1,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,2,0,0,12,0,0,2015-11-29
"buf",40875,"No",6,2,1,3,NA,NA,0,NA,NA,NA,NA,NA,0,2,6,0.333,0,6,0,0,2015-12-05
"bos",40875,"Yes",7,5,1,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,3,0,0,12,0,0,2015-12-05
"nyr",40874,"No",1,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,7,0,0,8,0,0,2015-12-06
"bos",40874,"Yes",4,0,0,4,NA,NA,0,NA,NA,NA,NA,NA,0,0,4,0,0,14,0,0,2015-12-06
"buf",40876,"No",2,1,1,0,0,"1",0,NA,NA,NA,NA,2,0,1,6,0.167,0,8,0,0,2015-12-06
"ctw",40876,"Yes",3,0,1,1,0,"3",0,NA,NA,NA,NA,0,0,1,4,0.25,0,25,0,0,2015-12-06
"ctw",40878,"Yes",4,0,0,3,0,"1",47,9,15,20,3,2,0,0,7,0,0,6,0,0,2015-12-13
"nyr",40878,"No",3,2,1,0,0,"0",38,10,15,8,5,3,0,1,3,0.333,0,14,0,0,2015-12-13
"buf",40877,"No",0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,2,0,0,6,0,0,2015-12-20
"bos",40877,"Yes",1,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,2,0,0,4,0,0,2015-12-20
"nyr",40879,"Yes",7,2,3,2,NA,NA,37,14,14,9,NA,NA,0,0,5,0,0,14,0,0,2015-12-27
"buf",40879,"No",3,1,1,1,NA,NA,28,6,14,8,NA,NA,0,1,7,0.143,0,10,0,0,2015-12-27
"bos",40880,"Yes",2,1,0,1,NA,NA,44,8,19,17,NA,NA,0,0,2,0,0,4,0,0,2015-12-27
"ctw",40880,"No",1,0,0,1,NA,NA,34,8,13,13,NA,NA,0,1,2,0.5,0,4,0,0,2015-12-27
"buf",40883,"Yes",4,1,1,1,1,NA,0,NA,NA,NA,NA,NA,0,3,6,0.5,0,10,0,0,2016-01-03
"bos",40883,"No",3,2,0,1,0,NA,0,NA,NA,NA,NA,NA,0,0,5,0,0,12,0,0,2016-01-03
"ctw",40882,"Yes",6,1,2,3,NA,NA,33,11,13,9,NA,NA,0,1,5,0.2,0,27,0,0,2016-01-03
"nyr",40882,"No",1,0,0,1,NA,NA,36,14,10,12,NA,NA,0,1,7,0.143,0,10,0,0,2016-01-03
"nyr",40881,"No",3,1,0,2,NA,NA,0,NA,NA,NA,NA,NA,0,1,7,0.143,0,6,0,0,2016-01-09
"ctw",40881,"Yes",4,1,2,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,4,0,0,14,0,0,2016-01-09
"nyr",40884,"No",1,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,3,0,0,10,0,0,2016-01-10
"bos",40884,"Yes",8,1,4,3,NA,NA,0,NA,NA,NA,NA,NA,0,1,5,0.2,0,6,0,0,2016-01-10
"buf",40885,"No",3,0,1,2,NA,NA,37,9,14,14,NA,NA,0,0,10,0,0,14,0,0,2016-01-10
"ctw",40885,"Yes",5,3,0,2,NA,NA,42,20,11,11,NA,NA,0,1,7,0.143,0,20,0,0,2016-01-10
"ctw",40891,"No",1,1,0,0,NA,NA,27,10,7,10,NA,NA,0,0,4,0,0,8,0,0,2016-01-17
"bos",40891,"Yes",4,1,2,1,NA,NA,49,17,22,10,NA,NA,0,2,4,0.5,0,8,0,0,2016-01-17
"buf",40887,"Yes",6,2,0,3,0,"2",47,15,9,18,5,1,0,1,7,0.143,0,20,0,0,2016-01-17
"nyr",40887,"No",5,1,4,0,0,"1",51,7,24,15,5,2,0,3,10,0.3,0,44,0,0,2016-01-17
"nyr",40890,"No",2,0,1,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,5,0,0,14,0,0,2016-01-31
"buf",40890,"Yes",4,2,0,2,NA,NA,0,NA,NA,NA,NA,NA,0,2,7,0.286,0,10,0,0,2016-01-31
"bos",40888,"Yes",5,0,4,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,3,0,0,12,0,0,2016-01-31
"ctw",40888,"No",2,0,1,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,6,0.167,0,6,0,0,2016-01-31
"bos",40889,"Yes",6,3,1,2,NA,NA,0,NA,NA,NA,NA,NA,0,1,5,0.2,0,20,0,0,2016-02-06
"nyr",40889,"No",1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,1,10,0.1,0,10,0,0,2016-02-06
"buf",40886,"No",2,0,2,0,0,NA,25,2,6,14,3,NA,0,0,7,0,0,8,0,0,2016-02-07
"ctw",40886,"Yes",3,1,1,0,1,NA,34,10,11,10,3,NA,0,1,4,0.25,0,14,0,0,2016-02-07
"buf",40893,"No",3,0,2,1,0,"1",38,11,13,8,6,2,0,0,4,0,0,12,0,0,2016-02-14
"nyr",40893,"Yes",4,1,0,2,0,"2",26,6,4,15,1,1,0,1,6,0.167,0,8,0,0,2016-02-14
"ctw",40892,"No",2,0,0,2,NA,NA,0,NA,NA,NA,NA,NA,0,0,1,0,0,8,0,0,2016-02-14
"bos",40892,"Yes",4,1,1,2,NA,NA,0,NA,NA,NA,NA,NA,0,1,5,0.2,0,2,0,0,2016-02-14
"bos",40895,"Yes",5,1,0,4,NA,NA,65,18,26,21,NA,NA,0,0,7,0,0,12,0,0,2016-02-21
"ctw",40895,"No",3,1,2,0,NA,NA,22,6,8,8,NA,NA,0,0,6,0,0,14,0,0,2016-02-21
"nyr",40894,"No",1,0,1,0,NA,NA,19,8,9,2,NA,NA,0,0,4,0,0,4,0,0,2016-02-21
"buf",40894,"Yes",5,1,1,3,NA,NA,33,8,11,14,NA,NA,0,0,2,0,0,8,0,0,2016-02-21
"bos",40896,"Yes",3,0,2,1,NA,NA,0,NA,NA,NA,NA,NA,0,0,5,0,0,10,0,0,2016-02-28
"buf",40896,"No",2,0,2,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,5,0,0,10,0,0,2016-02-28
"nyr",40897,"No",2,1,1,0,NA,NA,25,6,12,7,NA,NA,0,2,11,0.182,0,10,0,0,2016-02-28
"ctw",40897,"Yes",4,1,2,1,NA,NA,25,8,8,9,NA,NA,0,1,5,0.2,0,22,0,0,2016-02-28
"nyr",63628,"No",0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,4,0,0,14,0,0,2016-03-04
"bos",63628,"Yes",6,2,3,1,NA,NA,0,NA,NA,NA,NA,NA,0,3,7,0.429,0,8,0,0,2016-03-04
"buf",63624,"No",0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,5,0,0,8,0,0,2016-03-04
"ctw",63624,"Yes",3,0,2,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,4,0.25,0,10,0,0,2016-03-04
"buf",63626,"Yes",4,2,1,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,4,0.25,0,14,0,0,2016-03-05
"ctw",63626,"No",1,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,7,0,0,8,0,0,2016-03-05
"nyr",63623,"No",4,1,2,1,NA,NA,0,NA,NA,NA,NA,NA,0,4,8,0.5,0,16,0,0,2016-03-05
"bos",63623,"Yes",7,3,3,1,NA,NA,0,NA,NA,NA,NA,NA,0,2,8,0.25,0,14,0,0,2016-03-05
"buf",63627,"Yes",4,1,1,2,NA,NA,28,12,11,5,NA,NA,0,1,5,0.2,0,12,0,0,2016-03-06
"ctw",63627,"No",3,1,0,2,NA,NA,27,8,10,9,NA,NA,0,1,6,0.167,0,10,0,0,2016-03-06
"buf",63836,"No",3,0,1,2,0,NA,20,5,5,10,0,NA,0,1,4,0.25,0,8,0,0,2016-03-11
"bos",63836,"Yes",4,0,2,1,1,NA,34,9,8,10,7,NA,0,1,4,0.25,0,8,0,0,2016-03-11
"bos",63996,"Yes",3,1,0,2,NA,NA,0,NA,NA,NA,NA,NA,0,0,2,0,0,10,0,0,2016-03-12
"buf",63996,"No",1,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,5,0.2,0,4,0,0,2016-03-12
"bos",274593,"Yes",4,0,4,0,NA,NA,37,11,15,11,NA,NA,0,0,0,0,0,6,0,0,2016-10-07
"buf",274593,"No",1,0,0,1,NA,NA,21,7,7,7,NA,NA,0,0,0,0,0,10,0,0,2016-10-07
"met",274594,"No",3,1,1,1,NA,NA,3,1,1,1,NA,NA,0,0,0,0,0,10,0,0,2016-10-08
"bos",274594,"Yes",6,1,4,1,NA,NA,6,1,4,1,NA,NA,0,0,0,0,0,12,0,0,2016-10-08
"ctw",274595,"No",4,1,3,0,NA,NA,24,10,8,6,NA,NA,0,0,0,0,0,8,0,0,2016-10-09
"buf",274595,"Yes",5,1,1,3,NA,NA,32,10,13,9,NA,NA,0,0,0,0,0,10,0,0,2016-10-09
"buf",274596,"No",1,0,0,1,NA,NA,1,0,0,1,NA,NA,0,0,0,0,0,4,0,0,2016-10-15
"bos",274596,"Yes",2,0,1,0,NA,NA,1,0,1,0,NA,NA,0,0,0,0,0,4,0,0,2016-10-15
"ctw",274597,"Yes",4,2,2,0,NA,NA,39,7,19,13,NA,NA,0,0,0,0,0,8,0,0,2016-10-16
"met",274597,"No",2,2,0,0,NA,NA,40,10,19,11,NA,NA,0,0,0,0,0,8,0,0,2016-10-16
"met",274598,"No",1,1,0,0,NA,NA,31,13,9,9,NA,NA,0,0,0,0,0,2,0,0,2016-10-22
"bos",274598,"Yes",5,0,3,2,NA,NA,21,3,10,8,NA,NA,0,0,0,0,0,6,0,0,2016-10-22
"ctw",274599,"Yes",7,5,0,2,NA,NA,35,15,9,11,NA,NA,0,0,0,0,0,8,0,0,2016-10-23
"buf",274599,"No",5,1,2,2,NA,NA,28,15,6,7,NA,NA,0,0,0,0,0,4,0,0,2016-10-23
"met",274601,"Yes",3,1,0,2,NA,NA,30,10,7,13,NA,NA,0,0,0,0,0,8,0,0,2016-11-12
"buf",274601,"No",2,2,0,0,NA,NA,21,6,4,11,NA,NA,0,0,0,0,0,6,0,0,2016-11-12
"ctw",274600,"No",0,0,0,0,NA,NA,29,13,7,9,NA,NA,0,0,0,0,0,8,0,0,2016-11-12
"bos",274600,"Yes",3,1,0,2,NA,NA,29,6,12,11,NA,NA,0,0,0,0,0,6,0,0,2016-11-12
"met",274602,"No",3,1,1,1,0,NA,42,13,15,9,5,NA,0,0,0,0,0,10,0,0,2016-11-13
"buf",274602,"Yes",4,0,2,1,0,NA,28,7,8,13,0,NA,0,0,0,0,0,8,0,0,2016-11-13
"bos",274603,"Yes",5,1,2,2,NA,NA,29,5,9,15,NA,NA,0,0,0,0,0,8,0,0,2016-11-20
"buf",274603,"No",0,0,0,0,NA,NA,46,20,16,10,NA,NA,0,0,0,0,0,8,0,0,2016-11-20
"ctw",274604,"No",0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,6,0,0,2016-11-20
"met",274604,"Yes",4,1,2,1,NA,NA,4,1,2,1,NA,NA,0,0,0,0,0,6,0,0,2016-11-20
"buf",274606,"Yes",5,2,1,2,NA,NA,33,11,11,11,NA,NA,0,0,0,0,0,10,0,0,2016-12-03
"met",274606,"No",3,1,1,1,NA,NA,37,16,14,7,NA,NA,0,0,0,0,0,8,0,0,2016-12-03
"ctw",274605,"No",2,1,1,0,NA,NA,2,1,1,0,NA,NA,0,0,0,0,0,4,0,0,2016-12-03
"bos",274605,"Yes",5,0,3,2,NA,NA,5,0,3,2,NA,NA,0,0,0,0,0,6,0,0,2016-12-03
"bos",274607,"Yes",3,2,0,0,0,NA,30,11,10,8,1,NA,0,0,0,0,0,12,0,0,2016-12-04
"met",274607,"No",2,1,1,0,0,NA,37,14,8,10,5,NA,0,0,0,0,0,6,0,0,2016-12-04
"buf",274608,"No",1,0,1,0,NA,NA,43,20,8,15,NA,NA,0,0,0,0,0,12,0,0,2016-12-10
"ctw",274608,"Yes",6,2,2,2,NA,NA,27,4,16,7,NA,NA,0,0,0,0,0,12,0,0,2016-12-10
"ctw",274609,"Yes",4,1,1,2,NA,NA,29,9,9,11,NA,NA,0,0,0,0,0,10,0,0,2016-12-11
"met",274609,"No",2,0,2,0,NA,NA,26,8,12,6,NA,NA,0,0,0,0,0,2,0,0,2016-12-11
"met",274610,"Yes",2,1,0,1,NA,NA,29,12,6,11,NA,NA,0,0,0,0,0,7,0,0,2016-12-18
"ctw",274610,"No",0,0,0,0,NA,NA,18,6,7,5,NA,NA,0,0,0,0,0,6,0,0,2016-12-18
"buf",274611,"Yes",6,2,1,3,NA,NA,71,17,18,36,NA,NA,0,0,0,0,0,10,0,0,2017-01-07
"ctw",274611,"No",5,0,3,2,NA,NA,38,12,13,13,NA,NA,0,0,0,0,0,8,0,0,2017-01-07
"met",274612,"Yes",3,2,1,0,NA,NA,36,11,6,19,NA,NA,0,0,0,0,0,10,0,0,2017-01-14
"buf",274612,"No",0,0,0,0,NA,NA,33,15,15,3,NA,NA,0,0,0,0,0,12,0,0,2017-01-14
"bos",274613,"Yes",4,1,1,2,NA,NA,41,20,10,11,NA,NA,0,0,0,0,0,8,0,0,2017-01-15
"ctw",274613,"No",0,0,0,0,NA,NA,35,11,11,13,NA,NA,0,0,0,0,0,6,0,0,2017-01-15
"bos",274614,"Yes",2,0,1,1,NA,NA,24,13,5,6,NA,NA,0,0,0,0,0,14,0,0,2017-01-21
"met",274614,"No",1,0,0,1,NA,NA,32,7,9,16,NA,NA,0,0,0,0,0,8,0,0,2017-01-21
"bos",274615,"Yes",8,2,4,2,NA,NA,43,12,14,17,NA,NA,0,0,0,0,0,10,0,0,2017-01-27
"ctw",274615,"No",4,0,0,4,NA,NA,39,14,13,12,NA,NA,0,0,0,0,0,16,0,0,2017-01-27
"met",274616,"No",3,1,2,0,0,NA,38,14,12,10,2,NA,0,0,0,0,0,12,0,0,2017-01-27
"buf",274616,"Yes",4,1,1,1,0,NA,51,11,24,13,3,NA,0,0,0,0,0,10,0,0,2017-01-27
"met",274617,"Yes",8,2,4,2,NA,NA,37,21,6,10,NA,NA,0,0,0,0,0,6,0,0,2017-01-29
"ctw",274617,"No",6,4,0,2,NA,NA,29,12,10,7,NA,NA,0,0,0,0,0,6,0,0,2017-01-29
"buf",274618,"No",2,0,2,0,NA,NA,2,0,2,0,NA,NA,0,0,0,0,0,6,0,0,2017-02-04
"met",274618,"Yes",3,2,1,0,NA,NA,3,2,1,0,NA,NA,0,0,0,0,0,4,0,0,2017-02-04
"ctw",274619,"No",2,1,1,0,NA,NA,40,12,16,12,NA,NA,0,0,0,0,0,10,0,0,2017-02-04
"bos",274619,"Yes",5,1,0,4,NA,NA,27,13,5,9,NA,NA,0,0,0,0,0,10,0,0,2017-02-04
"buf",274620,"No",1,1,0,0,NA,NA,44,13,17,14,NA,NA,0,0,0,0,0,8,0,0,2017-02-18
"bos",274620,"Yes",3,1,1,1,NA,NA,27,4,13,10,NA,NA,0,0,0,0,0,8,0,0,2017-02-18
"ctw",274621,"No",5,4,1,0,0,NA,39,17,9,9,4,NA,0,0,0,0,0,16,0,0,2017-02-19
"met",274621,"Yes",6,1,1,3,1,NA,29,10,9,9,1,NA,0,0,0,0,0,6,0,0,2017-02-19
"bos",274622,"Yes",5,1,4,0,NA,NA,27,10,12,5,NA,NA,0,0,0,0,0,14,0,0,2017-02-24
"ctw",274622,"No",4,3,1,0,NA,NA,54,19,19,16,NA,NA,0,0,0,0,0,14,0,0,2017-02-24
"ctw",274623,"Yes",4,1,1,2,NA,NA,29,12,8,9,NA,NA,0,0,0,0,0,8,0,0,2017-02-26
"buf",274623,"No",2,0,1,1,NA,NA,39,9,13,17,NA,NA,0,0,0,0,0,4,0,0,2017-02-26
"met",274624,"No",3,2,1,0,NA,NA,23,5,7,11,NA,NA,0,0,0,0,0,10,0,0,2017-03-04
"bos",274624,"Yes",4,0,1,3,NA,NA,26,9,6,11,NA,NA,0,0,0,0,0,8,0,0,2017-03-04
"buf",274625,"No",1,0,1,0,NA,NA,40,14,13,13,NA,NA,0,0,0,0,0,2,0,0,2017-03-05
"bos",274625,"Yes",7,2,3,2,NA,NA,32,6,11,15,NA,NA,0,0,0,0,0,8,0,0,2017-03-05
"buf",274626,"Yes",4,1,2,1,NA,NA,4,1,2,1,NA,NA,0,0,0,0,0,10,0,0,2017-03-12
"ctw",274626,"No",3,1,0,2,NA,NA,3,1,0,2,NA,NA,0,0,0,0,0,10,0,0,2017-03-12
"bos",274627,"No",2,0,1,1,NA,NA,22,5,8,9,NA,NA,0,0,0,0,0,4,0,0,2017-03-12
"met",274627,"Yes",3,0,2,1,NA,NA,49,14,14,21,NA,NA,0,0,0,0,0,8,0,0,2017-03-12
"ctw",274756,"No",2,0,1,1,NA,NA,37,13,14,10,NA,NA,0,0,0,0,0,8,0,0,2017-03-16
"bos",274756,"Yes",8,2,3,3,NA,NA,34,11,13,10,NA,NA,0,0,0,0,0,4,0,0,2017-03-16
"buf",274758,"Yes",4,1,2,1,NA,NA,40,12,13,15,NA,NA,0,0,0,0,0,14,0,0,2017-03-17
"met",274758,"No",2,0,1,1,NA,NA,14,3,7,4,NA,NA,0,0,0,0,0,4,0,0,2017-03-17
"buf",274757,"Yes",3,2,1,0,NA,NA,65,17,24,24,NA,NA,0,0,0,0,0,8,0,0,2017-03-19
"bos",274757,"No",2,0,0,2,NA,NA,16,11,3,2,NA,NA,0,0,0,0,0,4,0,0,2017-03-19
